meeting_date,event_token,price_date,business_day_offset,attention
2008-03-18,rate_decision,2008-01-31,-31,0.02774820476770401
2008-03-18,rate_decision,2008-02-01,-30,0.03150179982185364
2008-03-18,rate_decision,2008-02-04,-29,0.02919374592602253
2008-03-18,rate_decision,2008-02-05,-28,0.028612203896045685
2008-03-18,rate_decision,2008-02-06,-27,0.03286547213792801
2008-03-18,rate_decision,2008-02-07,-26,0.030286237597465515
2008-03-18,rate_decision,2008-02-08,-25,0.029854746535420418
2008-03-18,rate_decision,2008-02-11,-24,0.03146746754646301
2008-03-18,rate_decision,2008-02-12,-23,0.029252348467707634
2008-03-18,rate_decision,2008-02-13,-22,0.032477207481861115
2008-03-18,rate_decision,2008-02-14,-21,0.03156488388776779
2008-03-18,rate_decision,2008-02-15,-20,0.03025604411959648
2008-03-18,rate_decision,2008-02-19,-19,0.03399541601538658
2008-03-18,rate_decision,2008-02-20,-18,0.03186248615384102
2008-03-18,rate_decision,2008-02-21,-17,0.03118155710399151
2008-03-18,rate_decision,2008-02-22,-16,0.03455955907702446
2008-03-18,rate_decision,2008-02-25,-15,0.032145965844392776
2008-03-18,rate_decision,2008-02-26,-14,0.028860963881015778
2008-03-18,rate_decision,2008-02-27,-13,0.030748482793569565
2008-03-18,rate_decision,2008-02-28,-12,0.031020648777484894
2008-03-18,rate_decision,2008-02-29,-11,0.029816316440701485
2008-03-18,rate_decision,2008-03-03,-10,0.030079590156674385
2008-03-18,rate_decision,2008-03-04,-9,0.0317210890352726
2008-03-18,rate_decision,2008-03-05,-8,0.030402861535549164
2008-03-18,rate_decision,2008-03-06,-7,0.032128963619470596
2008-03-18,rate_decision,2008-03-07,-6,0.02860196866095066
2008-03-18,rate_decision,2008-03-10,-5,0.033489733934402466
2008-03-18,rate_decision,2008-03-11,-4,0.028319135308265686
2008-03-18,rate_decision,2008-03-12,-3,0.0309667456895113
2008-03-18,rate_decision,2008-03-13,-2,0.03303774446249008
2008-03-18,rate_decision,2008-03-14,-1,0.0320553295314312
2008-03-18,rate_decision,2008-03-17,0,0.03992507606744766
2008-03-18,current_policy_stance,2008-01-31,-31,0.025496916845440865
2008-03-18,current_policy_stance,2008-02-01,-30,0.029994776472449303
2008-03-18,current_policy_stance,2008-02-04,-29,0.03289331868290901
2008-03-18,current_policy_stance,2008-02-05,-28,0.03086099773645401
2008-03-18,current_policy_stance,2008-02-06,-27,0.035323262214660645
2008-03-18,current_policy_stance,2008-02-07,-26,0.03217373788356781
2008-03-18,current_policy_stance,2008-02-08,-25,0.030540388077497482
2008-03-18,current_policy_stance,2008-02-11,-24,0.035605721175670624
2008-03-18,current_policy_stance,2008-02-12,-23,0.02947671338915825
2008-03-18,current_policy_stance,2008-02-13,-22,0.034526728093624115
2008-03-18,current_policy_stance,2008-02-14,-21,0.03237375617027283
2008-03-18,current_policy_stance,2008-02-15,-20,0.024016516283154488
2008-03-18,current_policy_stance,2008-02-19,-19,0.031050579622387886
2008-03-18,current_policy_stance,2008-02-20,-18,0.02973891794681549
2008-03-18,current_policy_stance,2008-02-21,-17,0.02832723781466484
2008-03-18,current_policy_stance,2008-02-22,-16,0.03009313903748989
2008-03-18,current_policy_stance,2008-02-25,-15,0.028963817283511162
2008-03-18,current_policy_stance,2008-02-26,-14,0.02457658387720585
2008-03-18,current_policy_stance,2008-02-27,-13,0.028275415301322937
2008-03-18,current_policy_stance,2008-02-28,-12,0.03011268377304077
2008-03-18,current_policy_stance,2008-02-29,-11,0.032301165163517
2008-03-18,current_policy_stance,2008-03-03,-10,0.03269531950354576
2008-03-18,current_policy_stance,2008-03-04,-9,0.03335220366716385
2008-03-18,current_policy_stance,2008-03-05,-8,0.030773233622312546
2008-03-18,current_policy_stance,2008-03-06,-7,0.035296302288770676
2008-03-18,current_policy_stance,2008-03-07,-6,0.033906590193510056
2008-03-18,current_policy_stance,2008-03-10,-5,0.03528427332639694
2008-03-18,current_policy_stance,2008-03-11,-4,0.033636514097452164
2008-03-18,current_policy_stance,2008-03-12,-3,0.028670059517025948
2008-03-18,current_policy_stance,2008-03-13,-2,0.032174304127693176
2008-03-18,current_policy_stance,2008-03-14,-1,0.029130663722753525
2008-03-18,current_policy_stance,2008-03-17,0,0.03835819661617279
2008-03-18,policy_stance_shift,2008-01-31,-31,0.0255222637206316
2008-03-18,policy_stance_shift,2008-02-01,-30,0.03003334254026413
2008-03-18,policy_stance_shift,2008-02-04,-29,0.0326208770275116
2008-03-18,policy_stance_shift,2008-02-05,-28,0.030861735343933105
2008-03-18,policy_stance_shift,2008-02-06,-27,0.03570158779621124
2008-03-18,policy_stance_shift,2008-02-07,-26,0.031913116574287415
2008-03-18,policy_stance_shift,2008-02-08,-25,0.03035331703722477
2008-03-18,policy_stance_shift,2008-02-11,-24,0.035630956292152405
2008-03-18,policy_stance_shift,2008-02-12,-23,0.029619788751006126
2008-03-18,policy_stance_shift,2008-02-13,-22,0.03442203253507614
2008-03-18,policy_stance_shift,2008-02-14,-21,0.03257787972688675
2008-03-18,policy_stance_shift,2008-02-15,-20,0.024567335844039917
2008-03-18,policy_stance_shift,2008-02-19,-19,0.031486112624406815
2008-03-18,policy_stance_shift,2008-02-20,-18,0.029658010229468346
2008-03-18,policy_stance_shift,2008-02-21,-17,0.028435060754418373
2008-03-18,policy_stance_shift,2008-02-22,-16,0.0305701345205307
2008-03-18,policy_stance_shift,2008-02-25,-15,0.02907237410545349
2008-03-18,policy_stance_shift,2008-02-26,-14,0.02444501221179962
2008-03-18,policy_stance_shift,2008-02-27,-13,0.028005065396428108
2008-03-18,policy_stance_shift,2008-02-28,-12,0.029953880235552788
2008-03-18,policy_stance_shift,2008-02-29,-11,0.03222155198454857
2008-03-18,policy_stance_shift,2008-03-03,-10,0.03262067213654518
2008-03-18,policy_stance_shift,2008-03-04,-9,0.03311009705066681
2008-03-18,policy_stance_shift,2008-03-05,-8,0.030522778630256653
2008-03-18,policy_stance_shift,2008-03-06,-7,0.03495675325393677
2008-03-18,policy_stance_shift,2008-03-07,-6,0.03386909142136574
2008-03-18,policy_stance_shift,2008-03-10,-5,0.03533536568284035
2008-03-18,policy_stance_shift,2008-03-11,-4,0.03359699249267578
2008-03-18,policy_stance_shift,2008-03-12,-3,0.028536349534988403
2008-03-18,policy_stance_shift,2008-03-13,-2,0.03184286132454872
2008-03-18,policy_stance_shift,2008-03-14,-1,0.029320968315005302
2008-03-18,policy_stance_shift,2008-03-17,0,0.03861663490533829
2008-03-18,expected_rate_path_shift,2008-01-31,-31,0.02528349868953228
2008-03-18,expected_rate_path_shift,2008-02-01,-30,0.029669346287846565
2008-03-18,expected_rate_path_shift,2008-02-04,-29,0.03279782086610794
2008-03-18,expected_rate_path_shift,2008-02-05,-28,0.03071003034710884
2008-03-18,expected_rate_path_shift,2008-02-06,-27,0.035511795431375504
2008-03-18,expected_rate_path_shift,2008-02-07,-26,0.0323290154337883
2008-03-18,expected_rate_path_shift,2008-02-08,-25,0.030308973044157028
2008-03-18,expected_rate_path_shift,2008-02-11,-24,0.035681962966918945
2008-03-18,expected_rate_path_shift,2008-02-12,-23,0.02946695312857628
2008-03-18,expected_rate_path_shift,2008-02-13,-22,0.03401421383023262
2008-03-18,expected_rate_path_shift,2008-02-14,-21,0.03263884782791138
2008-03-18,expected_rate_path_shift,2008-02-15,-20,0.02404860593378544
2008-03-18,expected_rate_path_shift,2008-02-19,-19,0.031188003718852997
2008-03-18,expected_rate_path_shift,2008-02-20,-18,0.02968653291463852
2008-03-18,expected_rate_path_shift,2008-02-21,-17,0.028173303231596947
2008-03-18,expected_rate_path_shift,2008-02-22,-16,0.03014807030558586
2008-03-18,expected_rate_path_shift,2008-02-25,-15,0.02912997268140316
2008-03-18,expected_rate_path_shift,2008-02-26,-14,0.024500226601958275
2008-03-18,expected_rate_path_shift,2008-02-27,-13,0.028321195393800735
2008-03-18,expected_rate_path_shift,2008-02-28,-12,0.03009617328643799
2008-03-18,expected_rate_path_shift,2008-02-29,-11,0.03214162588119507
2008-03-18,expected_rate_path_shift,2008-03-03,-10,0.03278881311416626
2008-03-18,expected_rate_path_shift,2008-03-04,-9,0.033380672335624695
2008-03-18,expected_rate_path_shift,2008-03-05,-8,0.0308403130620718
2008-03-18,expected_rate_path_shift,2008-03-06,-7,0.03523990511894226
2008-03-18,expected_rate_path_shift,2008-03-07,-6,0.03438654541969299
2008-03-18,expected_rate_path_shift,2008-03-10,-5,0.03518318757414818
2008-03-18,expected_rate_path_shift,2008-03-11,-4,0.034222450107336044
2008-03-18,expected_rate_path_shift,2008-03-12,-3,0.028571680188179016
2008-03-18,expected_rate_path_shift,2008-03-13,-2,0.032216522842645645
2008-03-18,expected_rate_path_shift,2008-03-14,-1,0.029282834380865097
2008-03-18,expected_rate_path_shift,2008-03-17,0,0.03804090991616249
2008-03-18,inflation_assessment_shift,2008-01-31,-31,0.03369856998324394
2008-03-18,inflation_assessment_shift,2008-02-01,-30,0.030256090685725212
2008-03-18,inflation_assessment_shift,2008-02-04,-29,0.0314742848277092
